smiles,DSSTox_CID,Formula,FW,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Compound ID,Sample ID,Stoichiometry,Alt ID,PUBCHEM_SID
CCn1c(=O)[nH]c2cc(Cl)c(Cl)cc21,,,,,,,,,,,,,,,,NCGC00261119,NCGC00261119-01,0,D 9190,
Clc1ccc(C(c2ccc(Cl)cc2)[n+]2ccn(CC(OCc3ccc(Cl)cc3Cl)c3ccc(Cl)cc3Cl)c2)cc1.[Cl-],,,,,,,,,,,,,,,,NCGC00260957,NCGC00260957-01,0,C 3930,
COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,,,,,,,,,,,,,,,,NCGC00261812,NCGC00261812-01,0,T 4182,
O=C1Nc2ccccc2/C1=C1\Nc2ccccc2\C1=N\O,,,,,,,,,,,,,,,,NCGC00260831,NCGC00260831-01,0,I0404,
CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC,,,,,,,,,,,,,,,,NCGC00261544,NCGC00261544-01,0,C3743,
Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,,,,,,,,,,,,,,,,NCGC00261619,NCGC00261619-01,0,S 3442,
CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],,,,,,,,,,,,,,,,NCGC00261633,NCGC00261633-01,0,P 4509,
Cl.O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,,,,,,,,,,,,,,,,NCGC00261395,NCGC00261395-01,0,L 9908,
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O,,,,,,,,,,,,,,,,NCGC00261717,NCGC00261717-01,0,P 8139,
C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@H]([C@@H]1OC(=O)CCCCCCC)[C@@](C)(OC(C)=O)C[C@H](OC(=O)CCC)[C@@]1(O)[C@H]2OC(=O)[C@@]1(C)O,,,,,,,,,,,,,,,,NCGC00261947,NCGC00261947-01,0,T 9033,
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,,,,,,,,,,,,,,,,NCGC00261424,NCGC00261424-01,0,M 6383,
C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,,,,,,,,,,,,,,,,NCGC00261861,NCGC00261861-01,0,T 3757,
CCCCCCCCc1ccc(-c2ccc(C(=O)O)cc2)cc1,,,,,,,,,,,,,,,,NCGC00261924,NCGC00261924-01,0,A9480,
[Cl-].c1ccc2c(c1)[I+]c1ccccc1-2,,,,,,,,,,,,,,,,NCGC00261052,NCGC00261052-01,0,D 2926,
CS(=O)(=O)O.N=C(NC(=O)c1nc(Cl)c(N)nc1N)Nc1ccccc1,,,,,,,,,,,,,,,,NCGC00261683,NCGC00261683-01,0,P-203,
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,,,,,,,,,,,,,,,,NCGC00261026,NCGC00261026-01,0,C 9911,
CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12.Cl,,,,,,,,,,,,,,,,NCGC00261057,NCGC00261057-01,0,C-125,
COC1(C2=NCCN2)COc2ccccc2O1.Cl,,,,,,,,,,,,,,,,NCGC00261738,NCGC00261738-01,0,R 9525,
CC(=N)NCCCC[C@@H](N)C(=O)O.Cl,,,,,,,,,,,,,,,,NCGC00261348,NCGC00261348-01,0,I 8021,
N=C(NCCC[C@H](N)C(=O)O)N[N+](=O)[O-],,,,,,,,,,,,,,,,NCGC00261503,NCGC00261503-01,0,N 5501,
NC(CCCCCP(=O)(O)O)C(=O)O,,,,,,,,,,,,,,,,NCGC00260693,NCGC00260693-01,0,A 5157,
NC(CCCP(=O)(O)O)C(=O)O,,,,,,,,,,,,,,,,NCGC00260703,NCGC00260703-01,0,A 5282,
Cl.NCCCCC(=O)O,,,,,,,,,,,,,,,,NCGC00260716,NCGC00260716-01,0,194336,
N[C@@]1(C(=O)O)CC[C@@H](C(=O)O)C1,,,,,,,,,,,,,,,,NCGC00260782,NCGC00260782-01,0,A-155,
Cl.NC1(C(=O)O)CCCCC1,,,,,,,,,,,,,,,,NCGC00260802,NCGC00260802-01,0,A-162,
C#CC(N)CCC(=O)O,,,,,,,,,,,,,,,,NCGC00260823,NCGC00260823-01,0,A-230,
CCCCCC(O)CCCC(=O)[O-].[Na+],,,,,,,,,,,,,,,,NCGC00261313,NCGC00261313-01,0,H-135,
Cl.NC1(C(=O)O)CC1,,,,,,,,,,,,,,,,NCGC00260757,NCGC00260757-01,0,A 0430,
C=CC[C@H](N)C(=O)O,,,,,,,,,,,,,,,,NCGC00260826,NCGC00260826-01,0,A 7762,
N=C(N)NOCC[C@H](N)C(=O)O.O=S(=O)(O)O,,,,,,,,,,,,,,,,NCGC00261005,NCGC00261005-01,0,C 9758,
C[C@H](Cc1ccc2c(c1)OC(C(=O)[O-])(C(=O)[O-])O2)NC[C@H](O)c1cccc(Cl)c1.[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00260980,NCGC00260980-01,0,C 5976,
CCc1ccccc1OC[C@@H](O)CN[C@H]1CCc2ccccc2C1.O=C(O)C(=O)O,,,,,,,,,,,,,,,,NCGC00261816,NCGC00261816-01,0,S 8688,
CN(CC[C@@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1)CC(=O)[O-].[Li+],,,,,,,,,,,,,,,,NCGC00260698,NCGC00260698-01,0,O7639,
CCCCOc1cc(CC2CNC(=O)N2)ccc1OC,,,,,,,,,,,,,,,,NCGC00260889,NCGC00260889-01,0,B 8279,
CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1N)C2,,,,,,,,,,,,,,,,NCGC00260811,NCGC00260811-01,0,A-138,
CC(C)C[C@H](NC(=O)C1OC1C(=O)O)C(=O)NCCCCNC(=N)N,,,,,,,,,,,,,,,,NCGC00261165,NCGC00261165-01,0,E 3132,
CC(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,,,,,,,,,,,,,,,,NCGC00261060,NCGC00261060-01,0,D 1064,
CC(=O)N[C@H](C(=O)O)C(C)(C)SN=O,,,,,,,,,,,,,,,,NCGC00261541,NCGC00261541-01,0,N 3398,
O=C(O)[C@H]1NCCC[C@H]1C(=O)O,,,,,,,,,,,,,,,,NCGC00261649,NCGC00261649-01,0,P 8782,
COc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)N(C)CC3.Cl,,,,,,,,,,,,,,,,NCGC00261110,NCGC00261110-01,0,D-003,
Br.CN1CCc2cc(O)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3,,,,,,,,,,,,,,,,NCGC00261130,NCGC00261130-01,0,D-029,
O=[N+]([O-])c1cccc2c(Br)n[nH]c12,,,,,,,,,,,,,,,,NCGC00260846,NCGC00260846-01,0,B 2050,
O=c1[nH]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]c1=O,,,,,,,,,,,,,,,,NCGC00261030,NCGC00261030-01,0,D 0540,
O=[N+]([O-])c1cc(O)c(O)c([N+](=O)[O-])c1,,,,,,,,,,,,,,,,NCGC00261162,NCGC00261162-01,0,D-131,
Oc1cc2c(cc1O)CN(C(=S)NCCc1ccc(Cl)cc1)CCC2,,,,,,,,,,,,,,,,NCGC00261058,NCGC00261058-01,0,C-191,
Cl.c1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1,,,,,,,,,,,,,,,,NCGC00261404,NCGC00261404-01,0,L 8539,
Cc1cccc(C#Cc2ccccc2)n1.Cl,,,,,,,,,,,,,,,,NCGC00261423,NCGC00261423-01,0,M 5435,
Cc1cccc(/C=C/c2ccccc2)n1,,,,,,,,,,,,,,,,NCGC00261856,NCGC00261856-01,0,S 9311,
COc1ccc2c(c1)CCC1C2CC[C@@]2(C)C1CC[C@@H]2NCCCCCCN1C(=O)CCC1=O,,,,,,,,,,,,,,,,NCGC00261342,NCGC00261342-01,0,U 6881,
N=S(=O)([O-])Cc1noc2ccccc12.[Na+],,,,,,,,,,,,,,,,NCGC00261935,NCGC00261935-01,0,Z 2001,
N#Cc1cc2nc([O][Na])c([O][Na])nc2cc1[N+](=O)[O-],,,,,,,,,,,,,,,,NCGC00261069,NCGC00261069-01,0,C-239,
COc1ccc(CCn2nnnc2C2(c3ccc(C)cc3)CC2)cc1,,,,,,,,,,,,,,,,NCGC00261101,NCGC00261101-01,0,M 7945,
C[C@@H](Cc1ccc(C=O)cc1)NC[C@@H](O)c1ccc(O)c(NCO)c1.C[C@@H](Cc1ccc(C=O)cc1)NC[C@@H](O)c1ccc(O)c(NCO)c1.O=C(O)/C=C/C(=O)O,,,,,,,,,,,,,,,,NCGC00261183,NCGC00261183-01,0,F 9552,
CCCCCCCCCC(=O)NC(CN1CCOCC1)[C@H](O)c1ccccc1.Cl,,,,,,,,,,,,,,,,NCGC00261716,NCGC00261716-01,0,P 7340,
CCCCCCCCCC[Si](C)(C)CCC(=O)NC(Cc1ccc(C)cc1)c1ccccc1,,,,,,,,,,,,,,,,NCGC00260742,NCGC00260742-01,0,S 9318,
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1.Cl,,,,,,,,,,,,,,,,NCGC00261529,NCGC00261529-01,0,Z 4626,
c1ccc(C(NCc2cccnc2)(c2ccccc2)c2ccccc2)cc1,,,,,,,,,,,,,,,,NCGC00261170,NCGC00261170-01,0,U6758,
Cl.O=C(O)C1=CCCN(CCON=C(c2ccccc2)c2ccccc2)C1,,,,,,,,,,,,,,,,NCGC00261565,NCGC00261565-01,0,N-142,
Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12,,,,,,,,,,,,,,,,NCGC00260990,NCGC00260990-01,0,C 5982,
Oc1cccc2c(O)nccc12,,,,,,,,,,,,,,,,NCGC00261340,NCGC00261340-01,0,I-138,
O=C(c1ccc2c(c1)OCCO2)N1CCCCC1,,,,,,,,,,,,,,,,NCGC00261079,NCGC00261079-01,0,C-271,
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1cccc(OCC(=O)O)c1.Cl,,,,,,,,,,,,,,,,NCGC00261389,NCGC00261389-01,0,I-122,
CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1.Cl,,,,,,,,,,,,,,,,NCGC00261744,NCGC00261744-01,0,S 7389,
Cn1ncc(S(=O)(=O)Cc2ccccc2)c(Br)c1=O,,,,,,,,,,,,,,,,NCGC00261420,NCGC00261420-01,0,B7936,
CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(=O)O,,,,,,,,,,,,,,,,NCGC00261215,NCGC00261215-01,0,G 6793,
Cl.O=C(Cc1ccc(Cl)c(Cl)c1)N1CCCCC1CN1CCCC1,,,,,,,,,,,,,,,,NCGC00261826,NCGC00261826-01,0,B 5559,
Brc1ccc([C@H]2CN3CCSC3=N2)cc1.O=C(O)C(=O)O,,,,,,,,,,,,,,,,NCGC00260706,NCGC00260706-01,0,190047,
O=C(O)c1cc(O)c2c(Cl)cc(Cl)cc2n1,,,,,,,,,,,,,,,,NCGC00261123,NCGC00261123-01,0,D-138,
CC1CNCCN1S(=O)(=O)c1cccc2cnccc12.Cl.Cl,,,,,,,,,,,,,,,,NCGC00261367,NCGC00261367-01,0,I 7016,
CNCCNS(=O)(=O)c1cccc2cnccc12.Cl.Cl,,,,,,,,,,,,,,,,NCGC00261507,NCGC00261507-01,0,M 9656,
CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCN(CC)C2)c1O.Cl,,,,,,,,,,,,,,,,NCGC00261169,NCGC00261169-01,0,E-101,
CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1.Cl.Cl,,,,,,,,,,,,,,,,NCGC00261730,NCGC00261730-01,0,R-140,
Cl.O=C(N[C@H]1CN2CCC1CC2)c1ccc(Cl)cc1,,,,,,,,,,,,,,,,NCGC00261624,NCGC00261624-01,0,P6499,
O=C(O)CCC(C(=O)O)N1C(=O)c2ccccc2C1=O,,,,,,,,,,,,,,,,NCGC00261641,NCGC00261641-01,0,P 1801,
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,,,,,,,,,,,,,,,,NCGC00261853,NCGC00261853-01,0,T 5193,
Cl.c1ccc2sc(C3(N4CCCCC4)CCCCC3)cc2c1,,,,,,,,,,,,,,,,NCGC00260911,NCGC00260911-01,0,B-138,
C=CCc1ccc([N+](C)(C)CCC(=O)CC[N+](C)(C)c2ccc(CC=C)cc2)cc1.[Br-].[Br-],,,,,,,,,,,,,,,,NCGC00260798,NCGC00260798-01,0,A 9013,
CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,,,,,,,,,,,,,,,,NCGC00261384,NCGC00261384-01,0,L 8401,
CC[C@H](NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,,,,,,,,,,,,,,,,NCGC00260785,NCGC00260785-01,0,S 5192,
NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc([O-])c([O-])nc12.[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00261597,NCGC00261597-01,0,N-183,
CCC(=O)N1CCN(C(=O)c2ccccc2)CC1,,,,,,,,,,,,,,,,NCGC00261025,NCGC00261025-01,0,D 5689,
NC(N)=NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,,,,,,,,,,,,,,,,NCGC00260789,NCGC00260789-01,0,A 9561,
Nc1nc(OCc2ccccc2)c2nc[nH]c2n1,,,,,,,,,,,,,,,,NCGC00260866,NCGC00260866-01,0,B 2292,
CCCCCC[C@@H]([C@@H](C)O)n1cnc2c(N)ncnc21.Cl,,,,,,,,,,,,,,,,NCGC00261189,NCGC00261189-01,0,E-114,
Oc1ccc(Cn2ccnc2S)cc1,,,,,,,,,,,,,,,,NCGC00261270,NCGC00261270-01,0,H 6892,
CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1.Cl,,,,,,,,,,,,,,,,NCGC00261611,NCGC00261611-01,0,L9793,
CC[n+]1c(/C=C/C=C2/N(C)c3ccccc3C2(C)C)sc2ccccc21.[I-],,,,,,,,,,,,,,,,NCGC00261160,NCGC00261160-01,0,A9605,
C[N+]1(C)CCN(c2ccccc2)CC1.[I-],,,,,,,,,,,,,,,,NCGC00261085,NCGC00261085-01,0,D 5891,
Nc1ccc(CCN2CCN(c3cccc(C(F)(F)F)c3)CC2)cc1,,,,,,,,,,,,,,,,NCGC00261817,NCGC00261817-01,0,S-009,
Cl.c1ccc2c(N3CCNCC3)cccc2c1,,,,,,,,,,,,,,,,NCGC00261866,NCGC00261866-01,0,S-003,
Cl.c1ccc2nc(C3=NCCN3)ccc2c1,,,,,,,,,,,,,,,,NCGC00260852,NCGC00260852-01,0,B-154,
Cc1nccc2c1[nH]c1ccccc12,,,,,,,,,,,,,,,,NCGC00261290,NCGC00261290-01,0,H 7258,
O=C(c1ccc(Cl)cc1)N1CCN(c2ccc([N+](=O)[O-])c3ncccc23)CC1,,,,,,,,,,,,,,,,NCGC00261304,NCGC00261304-01,0,C 3118,
C=CCNc1ncnc2ccc(Br)cc12,,,,,,,,,,,,,,,,NCGC00261704,NCGC00261704-01,0,S 8197,
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,,,,,,,,,,,,,,,,NCGC00260850,NCGC00260850-01,0,B 9308,
COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1,,,,,,,,,,,,,,,,NCGC00260972,NCGC00260972-01,0,C 7230,
CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C.[Br-],,,,,,,,,,,,,,,,NCGC00261364,NCGC00261364-01,0,L 5783,
Cc1cc(NC2CCCCC2)nc(-n2nc(C)cc2C)n1,,,,,,,,,,,,,,,,NCGC00261392,NCGC00261392-01,0,C5493,
O=c1onc2cnc3ccccc3n12,,,,,,,,,,,,,,,,NCGC00261638,NCGC00261638-01,0,O 3636,
CC1C(=O)N(C)C(=O)c2[nH]cnc21,,,,,,,,,,,,,,,,NCGC00261820,NCGC00261820-01,0,T 1633,
C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,,,,,,,,,,,,,,,,NCGC00261808,NCGC00261808-01,0,S-154,
Cl.c1ccc(CN(Cc2ncc[nH]2)c2ccccc2)cc1,,,,,,,,,,,,,,,,NCGC00260790,NCGC00260790-01,0,A 9899,
Cc1cc(NC(=O)Nc2ccc3c(ccn3C)c2)sn1,,,,,,,,,,,,,,,,NCGC00260940,NCGC00260940-01,0,S 0693,
Cc1nn(-c2ccccc2)c(C)c1C=NN1CCN(Cc2ccccc2)CC1,,,,,,,,,,,,,,,,NCGC00261081,NCGC00261081-01,0,S4572,
Cc1cc2c(cc1Cl)N(C(=O)Nc1ccnc3ccccc13)CC2,,,,,,,,,,,,,,,,NCGC00261506,NCGC00261506-01,0,S 1068,
Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,,,,,,,,,,,,,,,,NCGC00261133,NCGC00261133-01,0,D5676,
Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3nccnc3c2)n1,,,,,,,,,,,,,,,,NCGC00261399,NCGC00261399-01,0,S 8822,
O=C(O)c1ccccc1Nc1ccccc1,,,,,,,,,,,,,,,,NCGC00260696,NCGC00260696-01,0,144509,
CC(C)(C)c1ccc(/C=C/C(=O)Nc2ccc3c(c2)OCCO3)cc1,,,,,,,,,,,,,,,,NCGC00261903,NCGC00261903-01,0,A 2731,
CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl,,,,,,,,,,,,,,,,NCGC00261178,NCGC00261178-01,0,N 3911,
Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21,,,,,,,,,,,,,,,,NCGC00261568,NCGC00261568-01,0,O 0886,
CCCn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)O)cc3)nc2n(CCC)c1=O,,,,,,,,,,,,,,,,NCGC00260830,NCGC00260830-01,0,A-022,
C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,,,,,,,,,,,,,,,,NCGC00261113,NCGC00261113-01,0,D-134,
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,,,,,,,,,,,,,,,,NCGC00261327,NCGC00261327-01,0,I 5879,
Cn1c(=O)c2[nH]c(-c3ccccc3)nc2n(C)c1=O,,,,,,,,,,,,,,,,NCGC00261602,NCGC00261602-01,0,P 2278,
Oc1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1,,,,,,,,,,,,,,,,NCGC00260858,NCGC00260858-01,0,S 7067,
OC[C@H]1O[C@@H](c2nc3cc(Cl)c(Cl)cc3[nH]2)[C@H](O)[C@@H]1O,,,,,,,,,,,,,,,,NCGC00261071,NCGC00261071-01,0,D 1916,
Cn1c(=O)c2[nH]c(C3CCCC3)nc2n(C)c1=O,,,,,,,,,,,,,,,,NCGC00261076,NCGC00261076-01,0,C-102,
CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCCOC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,,,,,,,,,,,,,,,,NCGC00261192,NCGC00261192-01,0,F 7927,
O=C(Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)c1)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],,,,,,,,,,,,,,,,NCGC00261495,NCGC00261495-01,0,N 8652,174006642.0
O=c1[nH]c2cc(C(F)(F)F)ccc2n1-c1cc(C(F)(F)F)ccc1O,,,,,,,,,,,,,,,,NCGC00261577,NCGC00261577-01,0,N-170,
COc1ccccc1N1CCN(CCN(C(=O)c2ccc(F)cc2)c2ccccn2)CC1.Cl.Cl,,,,,,,,,,,,,,,,NCGC00261510,NCGC00261510-01,0,M-226,
O=c1[nH]c2ccccc2c2ccccc12,,,,,,,,,,,,,,,,NCGC00261679,NCGC00261679-01,0,P 8852,
Nc1ncnc2[nH]nc(Nc3ccc(F)cc3)c12,,,,,,,,,,,,,,,,NCGC00261941,NCGC00261941-01,0,C0993,
CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21.Cl,,,,,,,,,,,,,,,,NCGC00261343,NCGC00261343-01,0,L 2536,
O=c1onc2n1-c1cc(Br)ccc1OC2,,,,,,,,,,,,,,,,NCGC00261607,NCGC00261607-01,0,N-211,
CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21,,,,,,,,,,,,,,,,NCGC00261782,NCGC00261782-01,0,S 3065,
COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1.O=C(O)/C=C\C(=O)O,,,,,,,,,,,,,,,,NCGC00261914,NCGC00261914-01,0,W-108,
COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1.Cl,,,,,,,,,,,,,,,,NCGC00261475,NCGC00261475-01,0,G 5793,
O=C(O)c1ccccc1Nc1cccc(OCc2ccc3ccccc3n2)c1,,,,,,,,,,,,,,,,NCGC00261764,NCGC00261764-01,0,S 7690,
N#C/C(=C\c1ccc(-c2cc(Cl)ccc2Cl)o1)C(=O)Nc1cccc2ncccc12,,,,,,,,,,,,,,,,NCGC00261802,NCGC00261802-01,0,A 8231,
COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC.Cl.Cl.Cl,,,,,,,,,,,,,,,,NCGC00261813,NCGC00261813-01,0,B9311,
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccccc1,,,,,,,,,,,,,,,,NCGC00260795,NCGC00260795-01,0,B 1183,
O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1ccc(Oc2ccccc2)cc1,,,,,,,,,,,,,,,,NCGC00261352,NCGC00261352-01,0,L 0258,
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,,,,,,,,,,,,,,,,NCGC00261009,NCGC00261009-01,0,C-199,
Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,,,,,,,,,,,,,,,,NCGC00261944,NCGC00261944-01,0,S4568,
O=C1NC(=O)C(c2ccccc2[N+](=O)[O-])=C1Nc1ccc(O)c(Cl)c1,,,,,,,,,,,,,,,,NCGC00261166,NCGC00261166-01,0,S 3567,
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,,,,,,,,,,,,,,,,NCGC00261332,NCGC00261332-01,0,K 3888,
O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3,,,,,,,,,,,,,,,,NCGC00261333,NCGC00261333-01,0,L 2411,
CCCc1c(-c2ccc(O)cc2)nn(-c2ccc(O)cc2)c1-c1ccc(O)cc1,,,,,,,,,,,,,,,,NCGC00261260,NCGC00261260-01,0,H 6036,
OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1,,,,,,,,,,,,,,,,NCGC00261915,NCGC00261915-01,0,Y-102,
CN1CC[C@@]2(C)c3cc(O)ccc3N(C)C12.O=C(O)/C=C\C(=O)O,,,,,,,,,,,,,,,,NCGC00261238,NCGC00261238-01,0,E-100,
CCOC(=O)C(C)Oc1cccc2c(=O)n(CC(=O)Nc3ccc4c(c3)OCCO4)ccc12,,,,,,,,,,,,,,,,NCGC00261682,NCGC00261682-01,0,S1323,
CS(=O)(=O)O.Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1,,,,,,,,,,,,,,,,NCGC00261049,NCGC00261049-01,0,C-231,
COc1cccc(OC)c1OCCNCC1CSc2ccccc2O1.Cl,,,,,,,,,,,,,,,,NCGC00260910,NCGC00260910-01,0,B-016,
N#CSc1ccc2oc(C3=NCCN3)cc2c1,,,,,,,,,,,,,,,,NCGC00261272,NCGC00261272-01,0,B 8433,
O=C(O)[C@@H]1CCN1,,,,,,,,,,,,,,,,NCGC00260708,NCGC00260708-01,0,A 0760,
O=C(O)C1CCNCC1,,,,,,,,,,,,,,,,NCGC00261390,NCGC00261390-01,0,I18008,
N[C@@H](CS(=O)O)C(=O)O,,,,,,,,,,,,,,,,NCGC00260948,NCGC00260948-01,0,C 4418,
CCCCCCCCCCCCCCSCC(=O)O,,,,,,,,,,,,,,,,NCGC00261840,NCGC00261840-01,0,T 1698,
C[N+](C)(C)CCOC(=O)CBr.[Br-],,,,,,,,,,,,,,,,NCGC00260881,NCGC00260881-01,0,B-121,
Br.CO[C@H]1CC=C2CCN3CCC4=C(CC(=O)OC4)[C@]23C1,,,,,,,,,,,,,,,,NCGC00261153,NCGC00261153-01,0,D-149,
CCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1.Cl,,,,,,,,,,,,,,,,NCGC00261406,NCGC00261406-01,0,T5576,
