smiles,DSSTox_CID,Formula,FW,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
Clc1cccc(C(Cl)(Cl)Cl)n1,4216,C6H3Cl4N,230.9067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CCCCOCCOCCOCCOCCO,7412,C12H26O5,250.3318,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)C(=O)OCC(C)O,5934,C7H12O3,144.1684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)ccc1O,1084,C40H58O4,602.8861,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,1.0
CCCCCCCCCCCC(=O)OC,6889,C13H26O2,214.3443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCCCCN1CC(C)OC(C)C1,21376,C19H39NO,297.5191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=CCC#N,5851,C5H7N,81.1158,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0
Oc1cc(Cl)c(Cl)cc1Cl,4359,C6H3Cl3O,197.4464,0.0,0.0,,,,0.0,0.0,,0.0,0.0,1.0,
CN(C)CCCN(C)C,27469,C7H18N2,130.2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,260,C24H40O4,392.572,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
CCCCC(CC)COC(=O)CC#N,24378,C11H19NO2,197.2741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCCCCC(=O)OC(C)C,6838,C17H34O2,270.4507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1cc2[nH]c(=O)[nH]c(=O)c2cc1OC,26100,C10H10N2O4,222.1974,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
[Cl][Sb]([Cl])[Cl],24161,Cl3Sb,228.119,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0
CCCCCCCCCCCC(=O)OC,6889,C13H26O2,214.3443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1CN2CCN1CC2,2016,C6H12N2,112.1729,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1.[Na+].[Na+],21721,C18H9NNa2O8S2,477.3755 (431.3971+22.9892+22.9892),0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0
CC(C)(S)C(=O)N[C@@H](CS)C(=O)O,28513,C7H13NO3S2,223.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CC1=C2[C@H](/C=C(\C)C(=O)O)CC[C@@H](C)[C@H]2CC1,14089,C15H22O2,234.334,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,,0.0
CCNc1nc(Cl)nc(NC(C)C)n1,112,C8H14ClN5,215.6833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,381,C22H19Br2NO3,505.1992,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,
CCCCCCCCCCCCCCCCO,7991,C16H34O,242.4406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
OCCOCCOCCOCCOCCO,7579,C10H22O6,238.2781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCOC(=O)CCCCCCCC(=O)OCCCC,24815,C17H32O4,300.4336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=CC[C@H](CC=O)C1(C)C,24756,C10H16O,152.2334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCCCn1cc[n+](C)c1.[I-],29318,C16H31IN2,378.3352 (251.4302+126.9050),0.0,,0.0,,,,,,0.0,,1.0,
C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],26030,C10H11N4NaO5S,322.2729 (299.2837+22.9892),0.0,0.0,0.0,0.0,0.0,,,,0.0,,,
CCc1cccc(C)c1N,7833,C9H13N,135.2062,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])C(Br)Br,1637,CHBr2NO2,218.8321,0.0,0.0,,,0.0,0.0,0.0,1.0,,0.0,1.0,
O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,6523,C3Cl3N3O3,232.4094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,4163,C9H10Cl2N2O2,249.0939,0.0,0.0,1.0,,,0.0,0.0,,0.0,0.0,1.0,0.0
CN(C)CCN(Cc1cccs1)c1ccccn1.CN(C)CCN(Cc1cccs1)c1ccccn1.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,27404,C40H50N6O12S2,870.9880 (261.3858+116.0722+261.3858+116.0722+116.0722),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClCBr,1503,CH2BrCl,129.3836,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1oc2c(NC(=O)c3c(Cl)cccc3Cl)cccc2c1C(C)(C)O,28148,C19H17Cl2NO3,378.2492,0.0,0.0,1.0,1.0,,0.0,,,0.0,0.0,1.0,0.0
C(=C/C=N/c1ccccc1)\C=C\Nc1ccccc1.Cl,24398,C17H17ClN2,284.7833 (248.3223+36.4609),0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CC(C)[C@@H]1CC[C@@H](C)CC1=O,24384,C10H18O,154.2493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
c1ccc(NNc2ccccc2)cc1,710,C12H12N2,184.2371,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C=NCC1CCCC(CN=C=O)C1,24933,C10H14N2O2,194.2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=NN1CCOCC1,1056,C4H8N2O2,116.1185,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1,5021,C20H26O4,330.418,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,0.0
COc1nc(C)nc(N)n1,21230,C5H8N4O,140.1432,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
COC(=O)Cc1cccc2ccccc12,22143,C13H12O2,200.2332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccncc1,1892,C6H7N,93.1265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
NC(=O)CN1CC(O)CC1=O,25180,C6H10N2O3,158.1552,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CN(C)NC(=O)CCC(=O)O,370,C6H12N2O3,160.1711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cccc(C)c1NC(=O)CN1CCCC1=O,923,C14H18N2O2,246.3049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CCCC(=O)Cl,4710,C4H7ClO,106.5508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O,26870,C15H19N3O5,321.3285,0.0,,,,,0.0,,,0.0,,0.0,1.0
Nc1ccc([N+](=O)[O-])c(N)c1,5770,C6H7N3O2,153.1387,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,2474,C21H30O4,346.4605,1.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
[Cl][Nd]([Cl])[Cl],24760,Cl3Nd,250.601,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Cl.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,27530,C21H28Cl2N2O2,411.3652 (36.4609+374.9043),0.0,0.0,0.0,,,0.0,,,0.0,0.0,,
CC(=O)OCCOC(C)=O,6880,C6H10O4,146.1412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CCOc1cccc(-n2cc(C(=O)N3CCN(c4cc(C(=O)[O-])c5ccccc5c4)CC3)nc2-c2ccc(C)cc2)c1.[Na+],27337,C34H31N4NaO4,582.6241 (559.6349+22.9892),0.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,1.0,
C(=NC1CCCCC1)=NC1CCCCC1,3817,C13H22N2,206.3272,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,1.0,
Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,27939,C18H20O2,268.3502,0.0,,0.0,,1.0,1.0,,1.0,0.0,1.0,1.0,
CCCCCCCCCCCCCCCC/C=C/C1CC(=O)OC1=O,7948,C22H38O3,350.5353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
N#CCC#N,1907,C3H2N2,66.0614,0.0,1.0,,,0.0,0.0,,0.0,0.0,1.0,,
O=C1c2ccccc2C(=O)N1CCl,7790,C9H6ClNO2,195.6024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1.Cl,28853,C21H33ClN6O3,452.9781 (416.5172+36.4609),0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccccc1C=O,2051,C8H8O,120.1485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Nc1cccc([N+](=O)[O-])c1,5725,C6H6N2O2,138.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COCN(COC)c1nc(N(COC)COC)nc(N(COC)COC)n1,7520,C15H30N6O6,390.4353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)Cc1cccc2ccccc12,915,C12H10O2,186.2066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,11131,C18H26O4,306.3966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CCCN(CCC)CCc1cccc2c1CC(=O)N2,25195,C16H24N2O,260.3746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CCn1ccnc1CC1COc2ccccc2O1,25162,C14H16N2O2,244.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CCOc1cc([N+](=O)[O-])c(OCC)cc1N1CCOCC1,24737,C14H20N2O5,296.319,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.[Br-],25103,C18H26BrNO3,384.3079 (304.4034+79.9045),1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1.Cl,26847,C23H30ClNO3,403.9422 (367.4813+36.4609),0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,24131,C15H14N4O2S,314.3623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
C[Si](C)(C)N[Si](C)(C)C,5395,C6H19NSi2,161.3928,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,504,C13H17N3O,231.2936,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=COCCOCCOC=C,24985,C8H14O3,158.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,3180,C35H38Cl2N8O4,705.6334,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0
O.O.O.O.O=C1NC(=O)C(=O)C(=O)N1,27241,C4H10N2O8,214.1308 (142.0697+18.0153+18.0153+18.0153+18.0153),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCO,1946,C10H22O,158.2811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)CC2S(=O)(=O)C1(C)C,28618,C14H21NO7S,347.384,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,
ClC(Cl)(Cl)c1ccccc1,148,C7H5Cl3,195.4736,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0
Oc1ccc(O)c2c(O)cccc12,12759,C10H8O3,176.1687,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.Cl,25187,C20H25ClN2OS,376.9433 (340.4824+36.4609),0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0
Cl.Cn1c(NCCN(CCO)CCCc2ccc([N+](=O)[O-])cc2)cc(=O)n(C)c1=O,26495,C19H28ClN5O5,441.9091 (405.4482+36.4609),0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
CC(C=O)Cc1ccc2c(c1)OCO2,23908,C11H12O3,192.2112,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCOC(=O)c1cc(O)c(O)c(O)c1,1201,C10H12O5,212.1993,0.0,0.0,1.0,,0.0,1.0,,1.0,0.0,0.0,1.0,0.0
Cc1cccc(Br)c1,4659,C7H7Br,171.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
CCCCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,29315,C10H17F3N2O3S,302.3138 (153.2441+149.0697),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
CCCCCc1cc(O)cc(O)c1,5812,C11H16O2,180.2435,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,,
Cc1ccc(N)cc1[N+](=O)[O-],5633,C7H8N2O2,152.1506,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCC(=O)O[C@]1(C(=O)CO)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,2904,C27H37FO6,476.5775,1.0,1.0,,,0.0,0.0,0.0,,0.0,,1.0,0.0
NC(=O)Nc1ccccc1,22507,C7H8N2O,136.1512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,1309,C16H13ClN2O2,300.7396,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,3050,C17H12ClNO2S,329.8007,0.0,,1.0,0.0,0.0,0.0,1.0,,0.0,,1.0,0.0
Cc1ncc([N+](=O)[O-])n1CC(C)O,25934,C7H11N3O3,185.1805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,2408,C19H14O5S,354.3765,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,3490,C19H21NS,295.4417,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0
Cl.NC(=O)CC[C@H](Nc1ccc([N+](=O)[O-])cc1)C(=O)O,24714,C11H14ClN3O5,303.6990 (267.2380+36.4609),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C([O-])c1ccccc1Nc1cc(Cl)ccc1C(=O)[O-].[Na+].[Na+],28532,C14H8ClNNa2O4,335.6502 (289.6717+22.9892+22.9892),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
OC/C=C/CO,6849,C4H8O2,88.1051,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0
CCCCC(CC)COC(=O)COc1cc(Cl)c(Cl)cc1Cl,21329,C16H21Cl3O3,367.6951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oc1c(Cl)ccc(Cl)c1Cl,6209,C6H3Cl3O,197.4464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0
COC(=O)C(C)Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1,4123,C16H13ClF3NO4,375.7269,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,2521,C26H42O4,418.6093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
NC(N)=O.OO,4726,CH6N2O3,94.0699 (60.0553+34.0147),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(Oc1cccc2cccnc12)c1ccccc1,26069,C16H11NO2,249.264,0.0,0.0,,,,0.0,,,0.0,,,0.0
O=C([O-])C[C@H](O)CC(O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2],26448,C50H46CaF2N2O8,880.9836 (420.4534+420.4534+40.0769),0.0,,0.0,1.0,0.0,,0.0,,0.0,,,0.0
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCC(=O)N1)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(N)=O,26926,C54H85N13O15S,1188.3958,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0
CSc1nc(NC(C)C)nc(NC(C)C)n1,4272,C10H19N5S,241.3564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CCOCCO,4087,C4H10O2,90.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,3479,C14H17N5O3,303.3165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,1478,C20H28O,284.4357,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.0
CC(C)(C#N)/N=N/C(C)(C)C#N,6457,C8H12N4,164.2077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1nc(N)nc2nc[nH]c12,29365,C6H7N5O,165.1527,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)(C)C,5111,C6H14,86.1754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,25502,C27H36O8,488.5699,1.0,1.0,,,0.0,0.0,,,0.0,,,0.0
CC(CN)CC(C)(C)CCN,24894,C9H22N2,158.2844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
